img,OCR_product,category,Correct_cost
11.jpg,"SCZAPIEKANKA PEPERONIBK:57681SZ*15.99 15.998",Food,15.99
11.jpg,"OBNIZKA -11.398",Discount,11.39
11.jpg,"TYM.POMARANCZ.03LCK:256701SZT*4.99 4.99C",Food,4.99
11.jpg,"OBNIZKA -0.39C",Discount,0.39
11.jpg,"SCCROISSANT CZEKOLBK:294221SZT*5.99 5.998",Food,5.99
11.jpg,"OBNIZKA -1.398",Discount,1.39
11.jpg,"SCKAJZERKA SZYN/SER BK:47381 SZT*12.99 12.998",Food,12.99
11.jpg,"OBNIZKA -8.39B",Discount,8.39
11.jpg,"SC FAJNY BURGER ROSLINNY (B) K:81401SZT*12.99 12.99B",Food,12.99
11.jpg,"OBNIZKA -8.398",Discount,8.39
5.jpg,"Pielneni snazone 1szt.x36.0036.008",Food,36.00
5.jpg,"Kotlet po kijousku 1szt.x39.0039.008",Food,39.00
5.jpg,"Kotlet stoneczny 2szt.x36,0072.00B",Food,72.0
5.jpg,"Piuojasne 2szt.x12,0024.000",Bevarage,24.0
5.jpg,"Konpot 1szt.x7.007.000",Bevarage,7.00
5.jpg,"Sok ouocouy 1szt.x9.009.006",Bevarage,9.00
5.jpg,"Barszcz ukrainski 1szt.x27.0027.008",Food,27.00
5.jpg,"Serniczki 1szt.x25.0025.008",Food,25.00
12.jpg,"APSUEKID0130885 *69.9869.98",Housing,69.98
12.jpg,"CHUSTECZKT 856372A 1*6.486,48A",Healthcare,6.48
12.jpg,"PYN D0 MY780304A 1*6.796.79A",Housing,6.79
12.jpg,"KAPSUtKIDI263668 1*67.9967.996",Housing,67.99
12.jpg,"SMAKOWE BUT ZERO 1*5,325,32A",Bevarage,5.32
12.jpg,"NAPOJGAZ199435A 1*3,783,78A",Bevarage,3.78
12.jpg,"KPMASKA W957770A 13993,99A",Healthcare,3.99
12.jpg,"KP MASKAW 75192A 1*4.984,98A",Healthcare,4.98
12.jpg,"MASKA W PLA 76624A 1*3,993,99A",Healthcare,3.99
12.jpg,"ORZESZKIW 38864C 1*6,196,19C",Food,6.19
12.jpg,"ORZESZKI F 160044 1*116811,68C",Food,11.68
12.jpg,"KREM-K0MPR613519A 110,9810,98A",Healthcare,10.98
12.jpg,"RYZJASMIN 283336C 1*5.785,78C",Food,5.78
12.jpg,"SOK TtOCZ0 108489 1*5,785,78C",Bevarage,5.78
12.jpg,"SER M0ZZAR 618131 0,19232.906,32C",Food,6.32
12.jpg,"JABtKA TYP33938 0,922*5.495.06C",Food,5.06
12.jpg,"FILETZ KU339849 0,43824,8810,90C",Food,10.9
12.jpg,"SER K0ZI ZE 35009C 18,398,39C",Food,8.39
12.jpg,"SZYNKA D0S923895 0,19*49,909,48C",Food,9.48
12.jpg,"MUSJABtK0164949 1*2,382.38C",Food,2.38
12.jpg,"PIERS Z IN 287014 0,17425,004,35C",Food,4.35
12.jpg,"M0ZZARELLA 69308 0 1*3,193,19C",Food,3.19
12.jpg,"SERJANOSI 949392 1*7,477,47C",Food,7.47
12.jpg,"MUS_JABtK0164949 1*2,382,38C",Food,2.38
12.jpg,"PINSA PEtN 232862 1*10,8910,89C",Food,10.89
12.jpg,"TORTILLA P615157 1*4.394.39C",Food,4.39
12.jpg,"KLUSKI NA 127274 1*6,996,99C",Food,6.99
12.jpg,"S0SBUTTER630861 1*8,488,48B",Food,8.48
12.jpg,"PAR.Z FILE 30715C 1*11,99.11,99C",Food,11.99
12.jpg,"JOGURT SKY 956916 1*3,753.75C",Food,3.75
12.jpg,"JOGURT 8Z267818 1*3,193,19 C",Food,3.19
12.jpg,"JOGURT 8Z 267818 1*3,193,19 C",Food,3.19
12.jpg,"JOGOBELLA M 45104 13,193,19C",Food,3.19
2.jpg,"ChrupkiPapryka70g 3x3.9911.970",Food,11.97
2.jpg,"Prazynki8ekon120g 2x5.7911580",Food,11.58
2.jpg,"Pra2Be/S0L.120/110g 15.795.790",Food,5.79
2.jpg,"PrzypMajeraKan7g D 1x199199D",Food,1.99
2.jpg,"Przy CzosKamis20 g 11.99199D",Food,1.99
2.jpg,"PrzypCynKami12-15g 8 1x1991.99B",Food,1.99
2.jpg,"ChipCrunze140g 1x7197,19D",Food,7.19
2.jpg,"Spray 0ff100ml A 1x12.9912.99A",Other,12.99
2.jpg,"NapójGazColaZero2x2l A 1813.9813.98A",Bevarage,13.98
2.jpg,"Ser Gouda Suiat ikg 225,7051.400",Food,51.4
2.jpg,"KetchupPikan560g 8 1x4.494.49B 14.494,49B",Food,4.49
2.jpg,"Ketchupkago560g 8.8",Food,8.8
2.jpg,"TablPlusssz 20szi 1x6.696.69B",Healthcare,6.69
2.jpg,"Tost Maslany 5@0g 84,2834.24D",Food,4.24
2.jpg,"lost petnozia 500g 8x3,1925,520",Food,5.52
2.jpg,"Woda Niegaz 1,5l 12x0.9911.88A",Bevarage,11.88
2.jpg,"WodaNGaz Muszyi,5l H 6x2,8517,10A",Bevarage,17.1
2.jpg,"Nap CocaColaZero2l 18.698.69A",Bevarage,8.69
4.jpg,"GAKA2.0750 15.00C",Food,15.00
8.jpg,"PUDLISZKI KETCHUP OGNISTY 480G 214816B1*6.47 6.478",Food,6.47
8.jpg,"PUDLISZKI KETCHUP LAGODNY 480G 27532681*6.47 6.478",Food,6.47
8.jpg,"PROVITUS PESTO BASILICO 16OG 869357B1*7.55 7.558",Food,7.55
8.jpg,"ROLESKI SOS TRINIDAD SCOR.340G 206205B1*6.47 6.478",Food,6.47
8.jpg,"IND.MAKARON RYZYK ARRIGHI 500G 304215C1*4.82 4.82C",Food,4.82
8.jpg,"LUB.MAKARON GNIAZDA WST.400G 642416C1*4.82 4.82C",Food,4.82
8.jpg,"KRU.KISIEL OWO.LESNE KUBEK 30G 884686C1*1.25 1.25C",Food,1.25
8.jpg,"KRU.KISIEL TRUSKAWKOWY KUB.30G 865790C1*1.25 1.25C",Food,1.25
8.jpg,"MK CAFE KAWA ZIARN MEXICO 400G 343954A1*49.19 49.19A",Bevarage,49.19
8.jpg,"AXE ZEL P/P ANTIHANGOYER 40OML 409496A1*18.44 18.44A",Healthcare,18.44
8.jpg,"ZIELKO PEYN CZYSZCZOWLE500ML 966390A1*15.98 15.98A",Healthcare,15.98
8.jpg,"BREF KOSTKA D/WC BRYZA 2X42G 950791A1*14.99 14.99A",Housing,14.99
8.jpg,"TOPS ZEF RECZNIK PAPIER.2W300L 960507A1*8.00 8.00A",Housing,8.00
8.jpg,"SIATKAD/PIZZY 30CM 432292A1*17.10 17.10A",Housing,17.10
8.jpg,"OSTRZAE.*OSEEKA*D/NOZY/NOZYCZ 221665A1*47.85 47.85A",Other,47.85
8.jpg,"WYCISKACZ D/CZOSNKU 41776A1*61.38 61.38A",Other,61.38
8.jpg,"CYLINDERCO2ROZ.60L+KAUCJA 818167A1*49.08 49.08A",Other,49.08
8.jpg,"PACLAN EXPERT WORKI 60L 100SZI 44802A1*19.67 19.67A",Housing,19.67
8.jpg,"KALENDARZ DZIENNY B6BIOECO 488995A1*28.17 28.17A",Other,28.17
8.jpg,"TOPSPZYND0SPR.ZIM.-204 177597A1*15.73 15.73A",Other,15.73
8.jpg,"CREAVITA WINOGRONO 30OG 471737B1*49.57 49.57B",Other,49.57
8.jpg,"KOLAGEN EXTRAMAL-TRUS.300G 654152B1*51.73 51.738",Healthcare,51.73
8.jpg,"WHEY PROTETN COL MAL-CZEK 3OG 266926B1*5.50 5.508",Food,5.50
3.jpg,"Tabl Plusssz2@szt 1x6.696.69B",Healthcare,6.69
3.jpg,"Tost Maslany 500g 84.2834.24D",Food,4.24
3.jpg,"lost petnozia 500g 8x3,1925,520",Food,5.52
3.jpg,"Woda Niegaz 1,5l 12x0.9911,88A",Bevarage,11.88
3.jpg,"WodaNGazMuszyi,5l 6x2,8517,10A",Bevarage,17.1
3.jpg,"Nap CocaColaZero2l A 18.698.69A",Bevarage,8.69
6.jpg,"KPL.2ZAPAS-ROLKI24LISTKI 123041A1*7.37 7.37A",Housing,7.37
6.jpg,"MIESO MIELONE WOE EXTRA MP 609229C0.52*45.14 23.47C",Food,23.47
6.jpg,"SEL.KIEEBASA SWOJSKA OK.0.6KG 845991C0.584*35.69 20.84C",Food,20.84
6.jpg,"CEBULA CUKROWA HISZPANIA LUZ 251004C 1.51*3.66 5.53C",Food,5.53
6.jpg,"OGOREK DEUGI HISZPANIA LUZ 750499C0.658*14.69 9.67C",Food,9.67
6.jpg,"PAPRYKA SZOD CZER KLI HIS LUZ 187337C0.996*17.84 17.77C",Food,17.77
6.jpg,"POMIDOR OKR CZER KL.I MARO LUZ 213946C0.99*9.86 9.76C",Food,9.76
6.jpg,"AC.MLEKOPROT.B/L ODTE.UHT1L 870625C1*6.50 6.50C",Food,6.50
6.jpg,"OW.MLEKO UHT BARISTA B/LA 1L 780753C1*4.82 4.82C",Food,4.82
6.jpg,"Z0TTJOGURT NATURALNY B/LA330G 705653C2*4.61 9.22C",Food,9.22
6.jpg,"MLV.SEREK WIEJSKIB/LA 180G 454670C2*3.66 7.32C",Food,7.32
6.jpg,"BIELUCH SEREKWANIL.B/LA150G 235394C1*3.14 3.14C",Food,3.14
6.jpg,"ALMETTE SEREK ZIOLA B/LA 150G 475599C1*5.19 5.19C",Food,5.19
6.jpg,"ALMETTE SEREKSMIET.B/LA 150G 339221C1*5.19 5.19C",Food,5.19
6.jpg,"SPO.SER BURSZTYN180G 920661C1*9.96 9.96C",Food,9.96
6.jpg,"BUONA MOZZARELLAB/LA 125G 209000C2*5.45 10.90C",Food,5.45
6.jpg,"BUONA MOZZARELLA H/PROT.125G 938659C2*5.24 10.48C 5.640",Food,5.24
7.jpg,"SEK.RYBA PO GRECKU 200G 45865C1*7.34 7.34C",Food,7.34
7.jpg,"KNORR MAKARON BOLOGNESE 160G 993518C1*9.86 9.86C",Food,9.86
7.jpg,"DAW.KUKURYDZA KONSERWOWA 400G 635615C1*4.41 4.41C",Food,4.41
7.jpg,"DC.PAP.JALAPENO/ZIEL.KROJ.340G 684246C1*8.39 8.39C",Food,8.39
7.jpg,"PUD.KONCENTRAT POMIDOROWY 190G 88321C1*4.77 4.77C",Food,4.77
7.jpg,"DAW.PASSATA RUSTICA 690G 860532C1*7.34 7.34C",Food,7.34
7.jpg,"JEMYJEMY JARZYNOWA Z MIES.450G 539020C1*5.24 5.24C",Food,5.24
7.jpg,"JEMYJEMY ZUPA KREM ZPOM.375G 795200C1*5.76 5.76C",Food,5.76
7.jpg,"JEMYJEMY ZUPA WEGIERSKA 400G 882661C1*5.76 5.76C",Food,5.76
7.jpg,"KRAKUS KONCENTRAT ZURKU 300ML 322500C2*6.29 12.58C",Food,12.58
7.jpg,"TOPS MAKA TORTOWA T450 1KG 917073C1*2.29 2.290",Food,2.29
7.jpg,"PRY.SOLOBNIZONA ZAW.SODU 350G 634436A1*4.74 4.74A",Food,4.74
7.jpg,"PRY.PAPRYKAOSTRA 20G 606593B1*1.61 1.618",Food,1.61
7.jpg,"PRY.PAPRYKA SEODKA 20G 394507B1*1.52 1.528",Food,1.52
7.jpg,"PRY.PRZYPR.CHILI CAYENNE15G 541058B1*1.58 1.588",Food,1.58
7.jpg,"PRY.CZOSNEK GRANULOWANY 20G 442551C2*1.67 3.34C",Food,1.67
7.jpg,"PRY.BAZYLIA10G 17842C1*1.55 1.55C",Food,1.55
7.jpg,"PRY.KMIN RZYMSKI MIELONY 15G 623833B1*1.72 1.72B",Food,1.72
7.jpg,"PRY.KOPEREK SUSZONY 6G 600672C1*1.55 1.55C",Food,1.55
7.jpg,"PRY.NATKA PIETRUSZKI 6G 550031C 1*1.55 1.55C",Food,1.55
7.jpg,"PRY.OREGANO SUSZONE 8G 606955C1*1.55 1.55C",Food,1.55
7.jpg,"KOT.PIEPRZ CZARNY CALY 70G 845594B1*5.39 5.398",Food,5.39
7.jpg,"PRY.PIEPRZ CZARNY ZIARNIST.20G 504975B 1*1.51 1.51B",Food,1.51
7.jpg,"KAMIS ZIOLA PROWANSALSKIE 8G 58928981*1.78 1.788",Food,1.78
7.jpg,"KAMIS?PRZYPR.DO GYROSA 30G 263312B1*1.78 1.78B",Food,1.78
7.jpg,"PUDLISZKI KETCHUP OGNISTY 480G 214816B1*6.47 6.47B",Food,6.47
7.jpg,"PUDLISZKI KETCHUP LAGODNY 480G 275326B1*6.47 6.47B",Food,6.47
7.jpg,"PROVITUS PESTO BASILICO 160G 86935781*7.55 7.55B",Food,7.55
7.jpg,"ROLESKI SOS TRINIDAD SCOR.340G 20620581*6.47 6.47B",Food,6.47
