OCR_product,Category,Correct_cost
Dezodorant meski 150ml 4 x77.49 45.96D',Other,45.96
Płun do szyb 500ml 6 x6 .99 41.94D',Other,41.94
Ruż biały 1kg 7 x4.29 4.25D',Consumables,4.29
Energetyk 250ml 1 x6 .99 34.93D',Consumables,34.93
Sok Jab 1L 3 x3.49 6.98B ',Consumables,6.98
Baton proteinowy 50g 4 x5.65 21.96D',Consumables,21.96
Plyn do szyb 500ml 70 x6.99 65.90 D',Other,69.9
Papier toale 8szt 4  x12.99 77.96',Other,77.94
Masło ekstra 200g 2 x6.29 12.58D',Consumables,12.58
Paluszki Solone 150g 0 x2.95 23.92',Consumables,23.92
Ręcznik papi 2 rolki 4 x5.19  34.74B',Other,34.74
Czekolada mleczna 100g 8 x 3.59 28.73D',Consumables,28.72
Kiełbasa ślaska 400g 9 x11.95 107.91B',Consumables,107.91
Ener 250ml 3 x4.99 14.97D',Consumables,14.97
Batonu musli 5x30g 1 x8.99 8 .99',Consumables,8.99
Szamp do wlosó 250ml 5 x14.99 74.99D',Other,74.95
Dezodorant meski 150ml 6 x71.49 68.54B',Other,68.94
Żel pod prysznic 400ml 9 x9.55 89.91B',Other,89.91
Masło ekstra 200g 7 x6.29  64.03A',Consumables,44.03
Wino czerwone 750ml 7 x19.99 139.93A',Consumables,139.93
Płyn do szub 500ml 3 x6.99 13.98D',Other,13.98
Maka psz 1kg 10 x2.99 29.90B',Consumables,29.9
Papier toale 8szt 5 x72.99 116.51A',Other,116.91
Mleko UHT 1L 7 x2.19 19.33B',Consumables,15.33
Kielb śląska 400g 1 x11. 99 11.99',Consumables,11.99
Kielbasa śląska 400g 2 x11.59 23.90A',Consumables,23.98
Oliwa z oliwek 500ml 10 x 17.99 179.50B',Consumables,179.9
Zmywacz do paz 100ml 4 x4.29 77.76B',Other,17.16
Oliwa z oliwek 500ml 8 x11.99 143.92',Consumables,143.92
Palys Solon 150g 6 x2.95 11.94',Consumables,11.96
