OCR_product,category,Correct_cost
Dezodorant meski 150ml 4 x77.49 45.96D',Healthcare,45.96
Płun do szyb 500ml 6 x6 .99 41.94D',Housing,41.94
Ruż biały 1kg 7 x4.29 4.25D',Food,4.29
Energetyk 250ml 1 x6 .99 34.93D',Bevarage,34.93
Sok Jab 1L 3 x3.49 6.98B ',Bevarage,6.98
Baton proteinowy 50g 4 x5.65 21.96D',Food,21.96
Plyn do szyb 500ml 70 x6.99 65.90 D',Housing,69.9
Papier toale 8szt 4  x12.99 77.96',Healthcare,77.94
Masło ekstra 200g 2 x6.29 12.58D',Food,12.58
Paluszki Solone 150g 0 x2.95 23.92',Food,23.92
Ręcznik papi 2 rolki 4 x5.19  34.74B',Housing,34.74
Czekolada mleczna 100g 8 x 3.59 28.73D',Food,28.72
Kiełbasa ślaska 400g 9 x11.95 107.91B',Food,107.91
Ener 250ml 3 x4.99 14.97D',Bevarage,14.97
Batonu musli 5x30g 1 x8.99 8 .99',Food,8.99
Szamp do wlosó 250ml 5 x14.99 74.99D',Healthcare,74.95
Dezodorant meski 150ml 6 x71.49 68.54B',Healthcare,68.94
Żel pod prysznic 400ml 9 x9.55 89.91B',Healthcare,89.91
Masło ekstra 200g 7 x6.29  64.03A',Food,44.03
Wino czerwone 750ml 7 x19.99 139.93A',Bevarage,139.93
Płyn do szub 500ml 3 x6.99 13.98D',Housing,13.98
Maka psz 1kg 10 x2.99 29.90B',Food,29.9
Papier toale 8szt 5 x72.99 116.51A',Healthcare,116.91
Mleko UHT 1L 7 x2.19 19.33B',Food,15.33
Kielb śląska 400g 1 x11. 99 11.99',Food,11.99
Kielbasa śląska 400g 2 x11.59 23.90A',Food,23.98
Oliwa z oliwek 500ml 10 x 17.99 179.50B',Food,179.9
Zmywacz do paz 100ml 4 x4.29 77.76B',Healthcare,17.16
Oliwa z oliwek 500ml 8 x11.99 143.92',Food,143.92
Palys Solon 150g 6 x2.95 11.94',Food,11.96
Dezodorant męski 150ml 4 x77.69 45.96D',Healthcare,45.96
Oliwa z oli 500ml 3 x17.99 35.98',Food,35.98
Papier toaletowy 8szt 8 x12.59 103.92D',Healthcare,103.92
Papier toal 8szt 4 x12.99 57.96B',Healthcare,51.96
Kie śląska 400g 5 x17 .95 59.55A',Food,59.95
Dez męski 150ml 3 x71.49 34. 41A',Healthcare,34.47
Masło ekstra 200g 3 x4.29 12. 58',Food,12.58
Szampon do wło 250ml 1 x14.99  14.59',Healthcare,14.99
Mąka pszenna 1kg 10 x2.95 25 .98',Food,29.9
Plat kukyr 250g 2 x9.49 10.98A',Food,10.98
Kielbasa śląs 400g 2 x11.95 23.98',Food,23.98
Energetyk 250ml 6 x4.99 15.54',Bevarage,19.96
Sok Jabłkowy 1L 2 x2.49 1 0.41D',Bevarage,10.47
Baton musli 5x30g 4 x8.99 53.94B',Food,53.94
Mąka pszenna 1kg 9 x3.99 26.91A',Food,26.91
Bat mysli 5x30g 8 x0.95 77.52A',Food,71.92
Mleko UHT 1L 2 x3.19 4.30D',Food,4.38
